State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
VT,Medium,VeryLow,354-3783,no,no,VeryLow,Medium,Medium,Medium,Low,High,Low,Medium,Medium,Medium,High,Low,VeryHigh,VeryLow,False.
KY,Low,VeryLow,401-7594,no,no,VeryLow,Low,High,Medium,Medium,High,Medium,High,Medium,High,High,Medium,VeryHigh,Low,False.
IN,Medium,VeryLow,397-4976,no,no,VeryLow,Medium,Medium,Medium,Medium,High,Medium,High,Low,High,High,VeryLow,VeryHigh,Low,False.
AZ,Low,VeryLow,334-2577,no,no,VeryLow,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,VeryHigh,VeryHigh,False.
MI,VeryLow,,400-3637,no,yes,High,VeryHigh,High,VeryHigh,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,VeryHigh,Medium,False.
NM,Low,,383-4361,no,yes,Medium,Low,VeryHigh,Low,Medium,High,Medium,Medium,Low,High,High,VeryLow,VeryHigh,Low,False.
CO,Medium,VeryLow,371-4306,no,yes,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,High,VeryLow,VeryHigh,Low,False.
UT,High,VeryLow,403-4298,no,no,VeryLow,High,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,Medium,VeryHigh,High,False.
MI,Medium,VeryLow,409-3786,no,no,VeryLow,Medium,High,Medium,VeryHigh,Medium,VeryHigh,Low,Low,Low,Medium,Medium,VeryHigh,Low,False.
MA,Medium,VeryLow,337-4697,no,no,VeryLow,Medium,High,Medium,High,Medium,High,Medium,Medium,High,High,VeryLow,VeryHigh,Medium,False.
AL,Medium,VeryLow,383-1509,no,no,VeryLow,Medium,High,Medium,Medium,High,High,Medium,Medium,High,High,Low,VeryHigh,VeryHigh,False.
DE,Medium,VeryLow,359-9794,no,no,VeryLow,Low,High,Low,Medium,Medium,High,High,Medium,High,VeryHigh,Medium,VeryHigh,Low,False.
AZ,Low,VeryLow,407-7035,no,no,VeryLow,VeryLow,High,VeryLow,Medium,Low,Medium,Medium,Low,High,Medium,VeryLow,VeryHigh,Low,False.
ME,VeryLow,,363-1069,yes,yes,VeryHigh,Medium,Medium,High,High,High,VeryHigh,Low,High,Medium,,Low,,VeryLow,True.
NJ,Low,,391-4652,no,no,VeryLow,Medium,Medium,Medium,Medium,High,Medium,VeryLow,High,VeryLow,VeryHigh,VeryLow,VeryHigh,Low,False.
NV,Low,VeryLow,355-6837,no,no,VeryLow,VeryHigh,High,VeryHigh,High,Low,High,Low,Medium,Medium,Medium,Low,VeryHigh,Low,True.
MO,Medium,,409-1244,no,yes,High,Low,High,Low,Medium,Medium,Medium,Medium,High,Medium,High,VeryLow,VeryHigh,Medium,False.
ID,Medium,VeryLow,328-3266,no,no,VeryLow,High,High,High,Medium,High,High,Low,Low,Medium,Medium,Low,VeryHigh,Medium,False.
NE,VeryLow,VeryLow,352-7072,no,no,VeryLow,High,Medium,High,High,Medium,High,Medium,High,High,VeryHigh,Medium,VeryHigh,Low,False.
TX,VeryLow,VeryLow,370-7550,no,yes,Medium,High,High,High,Low,Medium,Medium,Low,High,Medium,Medium,VeryLow,VeryHigh,VeryLow,False.
MD,Medium,,369-5526,no,no,VeryLow,Medium,High,Medium,Medium,High,Medium,Medium,Medium,High,High,Low,VeryHigh,High,False.
MS,VeryHigh,VeryLow,329-4391,no,no,VeryLow,Medium,High,Medium,Low,Medium,Medium,Low,Medium,Low,High,VeryLow,VeryHigh,Low,False.
NV,Medium,,408-4195,no,no,VeryLow,Medium,High,Medium,Low,Medium,Low,Medium,High,High,Medium,Low,VeryHigh,Medium,False.
AZ,Low,VeryLow,354-4445,no,no,VeryLow,Medium,Low,High,High,High,High,High,Medium,VeryHigh,High,VeryLow,VeryHigh,Low,False.
MS,High,VeryLow,335-4858,no,no,VeryLow,Low,High,Low,Medium,Medium,Medium,Low,Low,Medium,Medium,VeryLow,VeryHigh,VeryHigh,True.
MS,Low,,414-8718,no,yes,Medium,Medium,High,Medium,Medium,High,Medium,Medium,High,High,Medium,Low,VeryHigh,VeryHigh,True.
TX,Low,VeryLow,409-5939,no,no,VeryLow,Low,Medium,Low,Medium,High,High,Medium,Low,Medium,Medium,Low,VeryHigh,Medium,False.
NE,Medium,VeryLow,331-4902,no,yes,High,High,High,High,Medium,High,Medium,High,Medium,VeryHigh,Medium,Low,VeryHigh,High,False.
NE,Low,VeryLow,353-6870,no,no,VeryLow,Medium,Medium,Medium,High,High,High,Low,High,Medium,High,VeryLow,VeryHigh,High,False.
CA,Low,VeryLow,355-2909,no,no,VeryLow,Medium,High,Medium,Medium,Medium,Medium,High,Low,VeryHigh,Low,Low,VeryHigh,Low,False.
NJ,Low,VeryLow,390-6101,no,no,VeryLow,High,High,High,High,VeryHigh,High,High,High,VeryHigh,Medium,VeryLow,VeryHigh,Low,False.
TX,Low,VeryLow,400-3446,no,no,VeryLow,Medium,Medium,High,Medium,High,High,Medium,VeryLow,High,Medium,VeryLow,VeryHigh,VeryHigh,False.
AR,High,VeryLow,411-5859,no,no,VeryLow,Medium,High,High,Medium,High,High,Medium,Low,High,Medium,High,VeryHigh,Low,False.
AL,Low,,387-2919,yes,no,VeryLow,Low,High,Low,Medium,Medium,Medium,High,High,High,High,VeryLow,VeryHigh,High,False.
NY,Low,VeryLow,374-8525,no,yes,Medium,Medium,High,Medium,High,High,High,Medium,High,High,Low,Low,VeryHigh,VeryHigh,False.
FL,Low,,379-5592,no,no,VeryLow,Medium,High,High,Medium,High,High,Medium,High,High,High,VeryLow,VeryHigh,High,False.
AK,Medium,,345-8237,no,yes,High,Medium,High,Medium,Low,Medium,Medium,High,Low,VeryHigh,High,Medium,VeryHigh,Low,False.
NV,Medium,VeryLow,422-6690,no,yes,Medium,Medium,High,High,Medium,Low,Medium,Low,VeryLow,Medium,High,Low,VeryHigh,Medium,False.
DE,Medium,,346-2359,no,no,VeryLow,Medium,High,Medium,High,Medium,VeryHigh,Medium,Medium,High,High,VeryLow,VeryHigh,Low,False.
MD,Medium,VeryLow,374-3534,no,yes,VeryHigh,Medium,Medium,High,High,Medium,High,High,High,VeryHigh,High,Low,VeryHigh,VeryLow,False.
MI,High,VeryLow,381-4756,no,yes,Medium,Medium,High,Medium,Medium,Medium,High,Low,High,Low,Medium,Low,VeryHigh,High,False.
VT,Medium,,390-2805,no,no,VeryLow,High,Low,High,Medium,Medium,High,Medium,Medium,High,High,Low,VeryHigh,Low,False.
VT,Medium,VeryLow,390-2390,yes,no,VeryLow,Medium,Medium,Medium,Medium,Medium,Medium,High,High,High,VeryHigh,Medium,VeryHigh,Medium,True.
MI,Medium,VeryLow,419-9097,no,no,VeryLow,High,High,High,Medium,Medium,Medium,Low,Medium,Low,VeryHigh,Low,VeryHigh,High,False.
WA,Medium,VeryLow,386-7281,no,no,VeryLow,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,VeryHigh,VeryLow,VeryHigh,Low,False.
UT,Low,VeryLow,380-3561,yes,no,VeryLow,High,Medium,VeryHigh,High,High,High,Low,Medium,Low,High,Low,VeryHigh,Low,False.
LA,Medium,VeryLow,390-8760,no,no,VeryLow,Medium,High,Medium,High,Medium,High,Low,Medium,Medium,Medium,Low,VeryHigh,Low,False.
RI,High,VeryLow,366-6730,no,yes,VeryHigh,High,High,High,Medium,Medium,Medium,High,Low,VeryHigh,High,Low,VeryHigh,Medium,False.
IA,Medium,VeryLow,395-5285,no,no,VeryLow,Medium,High,Medium,High,High,High,Medium,Low,Medium,High,Low,VeryHigh,Low,False.
NE,Medium,VeryLow,354-3436,no,no,VeryLow,Low,High,Low,Medium,Medium,High,High,Medium,VeryHigh,High,Medium,VeryHigh,Low,False.
OH,Low,VeryLow,336-7600,no,no,VeryLow,Medium,High,Medium,Medium,High,Medium,Medium,Low,High,Medium,Low,VeryHigh,Low,False.
RI,Low,VeryLow,383-6293,no,no,VeryLow,High,High,High,High,High,High,Low,High,Medium,Medium,High,VeryHigh,Low,False.
OK,Low,VeryLow,362-4596,no,no,VeryLow,High,High,High,Medium,Low,Medium,High,Low,VeryHigh,High,Low,VeryHigh,VeryHigh,False.
LA,High,VeryLow,401-3926,no,no,VeryLow,Medium,High,Medium,VeryHigh,VeryHigh,VeryHigh,High,Medium,VeryHigh,High,Low,VeryHigh,VeryLow,False.
OH,Low,VeryLow,370-9116,no,no,VeryLow,VeryHigh,High,VeryHigh,High,High,High,Low,Medium,Medium,VeryHigh,Medium,VeryHigh,VeryLow,True.
VA,Medium,,328-6289,no,yes,Medium,Medium,VeryHigh,Medium,High,Medium,High,High,Medium,VeryHigh,VeryHigh,VeryLow,VeryHigh,VeryLow,False.
MO,VeryLow,,350-9994,no,no,VeryLow,Medium,High,Medium,High,Medium,VeryHigh,Medium,Low,Medium,High,VeryLow,VeryHigh,Low,False.
FL,Medium,,351-4616,no,yes,Medium,Medium,High,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Low,VeryHigh,Low,False.
SC,Low,VeryLow,360-5779,no,no,VeryLow,Low,High,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Low,VeryHigh,VeryLow,False.
VA,Medium,VeryLow,417-4885,no,no,VeryLow,High,High,High,High,High,High,High,Medium,VeryHigh,High,Low,VeryHigh,VeryLow,False.
IA,Medium,,406-4710,no,yes,High,Medium,High,Medium,High,High,High,Medium,Medium,High,High,Low,VeryHigh,High,False.
MI,Low,VeryLow,409-8743,no,no,VeryLow,Low,High,Low,Low,High,Medium,Medium,Low,High,High,VeryLow,VeryHigh,Low,False.
OK,High,VeryLow,335-4584,no,no,VeryLow,Medium,VeryHigh,High,Medium,Medium,Medium,Low,Medium,Medium,Low,VeryLow,VeryHigh,Low,False.
DE,Low,VeryLow,361-9845,no,yes,High,High,Medium,High,Medium,Medium,High,Medium,Medium,High,High,VeryLow,VeryHigh,Medium,False.
GA,High,,366-5699,no,yes,High,Medium,High,Medium,Medium,VeryHigh,Medium,High,High,VeryHigh,Medium,VeryLow,VeryHigh,Low,False.
DC,High,VeryLow,329-9364,no,no,VeryLow,Medium,High,High,High,High,High,High,Medium,VeryHigh,High,VeryLow,VeryHigh,Low,False.
AZ,Low,VeryLow,390-7434,no,yes,VeryHigh,Medium,High,Medium,Medium,High,High,Low,Low,Low,VeryHigh,Low,VeryHigh,Low,False.
AL,VeryLow,,404-9680,no,no,VeryLow,High,Medium,High,Medium,Medium,Medium,Low,VeryLow,Medium,Low,VeryLow,VeryHigh,VeryLow,False.
CO,Low,VeryLow,338-9398,no,no,VeryLow,High,High,High,High,High,High,Low,Low,Low,VeryHigh,VeryLow,VeryHigh,Low,False.
NH,Low,VeryLow,394-2445,no,yes,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,High,Low,VeryHigh,Medium,False.
NM,VeryLow,VeryLow,381-2709,no,no,VeryLow,Low,Medium,Low,Medium,High,High,High,Low,VeryHigh,High,Low,VeryHigh,High,False.
OR,Low,VeryLow,397-5060,no,no,VeryLow,Low,Medium,Low,Medium,Medium,Medium,Medium,VeryHigh,Medium,VeryHigh,VeryLow,VeryHigh,Low,False.
LA,High,VeryLow,415-2393,no,no,VeryLow,High,Medium,High,Medium,High,Medium,High,Medium,High,Low,Low,VeryHigh,VeryLow,False.
