State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
MT,0.388,1.0,394-8006,no,no,0.0,0.446,0.533,0.446,0.681,0.441,0.681,0.455,0.577,0.455,0.615,0.25,0.615,0.333,False.
IA,0.252,0.069,366-9238,no,no,0.0,0.344,0.424,0.344,0.845,0.447,0.845,0.484,0.465,0.484,0.655,0.3,0.656,0.444,False.
NY,0.661,0.069,351-7269,no,no,0.0,0.949,0.406,0.949,0.874,0.571,0.874,0.37,0.669,0.37,0.27,0.45,0.27,0.444,True.
ID,0.347,0.0,350-8884,no,yes,0.529,0.56,0.842,0.56,0.772,0.529,0.773,0.178,0.296,0.178,0.69,0.2,0.691,0.111,False.
VT,0.38,1.0,386-2923,no,no,0.0,0.544,0.691,0.544,0.6,0.653,0.6,0.286,0.62,0.286,0.405,0.15,0.406,0.333,False.
VA,0.31,1.0,356-2992,no,yes,0.647,0.541,0.4,0.541,0.585,0.382,0.585,0.383,0.528,0.384,0.5,0.25,0.5,0.111,False.
TX,0.298,0.069,373-2782,no,no,0.0,0.64,0.545,0.64,0.439,0.518,0.439,0.456,0.289,0.457,0.65,0.1,0.65,0.111,False.
FL,0.603,0.069,396-5800,no,no,0.0,0.442,0.709,0.442,0.659,0.547,0.659,0.499,0.704,0.5,0.53,0.2,0.53,0.0,False.
CO,0.314,0.0,393-7984,no,no,0.0,0.178,0.539,0.178,0.467,0.712,0.467,0.501,0.218,0.501,0.285,0.3,0.285,0.556,True.
AZ,0.533,0.069,358-1958,no,no,0.0,0.522,0.679,0.522,0.2,0.582,0.201,0.427,0.317,0.427,0.475,0.95,0.476,0.0,False.
SC,0.455,0.069,350-2565,no,no,0.0,0.315,0.624,0.315,0.378,0.6,0.378,0.448,0.507,0.448,0.385,0.3,0.385,0.222,False.
VA,0.541,1.0,343-4696,no,no,0.0,0.231,0.521,0.231,0.674,0.424,0.674,0.575,0.577,0.576,0.515,0.1,0.515,0.0,False.
NE,0.715,0.069,331-3698,no,no,0.0,0.354,0.461,0.354,0.762,0.659,0.762,0.612,0.577,0.612,0.775,0.25,0.776,0.333,False.
WY,0.231,0.0,357-3817,no,yes,0.765,0.607,0.697,0.607,0.525,0.659,0.525,0.429,0.577,0.429,0.475,0.15,0.476,0.0,False.
MT,0.219,0.0,418-6412,no,no,0.0,0.383,0.442,0.383,0.428,0.588,0.428,0.212,0.246,0.212,0.735,0.2,0.735,0.333,False.
MO,0.079,0.069,353-2630,no,no,0.0,0.542,0.661,0.542,0.71,0.494,0.71,0.426,0.486,0.426,0.315,0.3,0.315,0.0,False.
HI,0.198,1.0,410-7789,no,no,0.0,0.34,0.709,0.34,0.591,0.641,0.591,0.418,0.401,0.418,0.555,0.05,0.556,0.111,False.
IL,0.583,0.069,416-8428,no,no,0.0,0.242,0.576,0.242,0.376,0.371,0.376,0.611,0.81,0.611,0.71,0.3,0.709,0.222,False.
NH,0.306,1.0,370-3359,no,no,0.0,0.645,0.636,0.645,0.554,0.629,0.554,0.6,0.458,0.6,0.515,0.25,0.515,0.111,False.
LA,0.707,0.0,383-1121,no,no,0.0,0.604,0.733,0.604,0.086,0.676,0.086,0.726,0.317,0.727,0.63,0.5,0.63,0.333,False.
AZ,0.045,0.0,360-1596,no,no,0.0,0.712,0.715,0.711,0.694,0.7,0.694,0.691,0.401,0.692,0.59,0.15,0.591,0.111,True.
OK,0.231,0.0,395-2854,no,yes,0.49,0.504,0.57,0.504,0.536,0.441,0.536,0.512,0.585,0.512,0.415,0.2,0.415,0.0,False.
GA,0.293,0.069,362-1407,no,yes,0.725,0.627,0.485,0.627,0.597,0.6,0.598,0.349,0.268,0.349,0.735,0.3,0.735,0.333,False.
AK,0.145,0.0,341-9764,no,yes,0.588,0.417,0.776,0.417,0.447,0.471,0.447,0.285,0.535,0.286,0.725,0.3,0.726,0.0,False.
MA,0.318,0.069,353-3305,no,no,0.0,0.373,0.388,0.373,0.615,0.682,0.615,0.55,0.528,0.551,0.5,0.25,0.5,0.111,False.
AK,0.558,0.069,402-1381,yes,yes,0.647,0.581,0.642,0.581,0.516,0.582,0.516,0.211,0.521,0.212,0.525,0.3,0.526,0.333,False.
NJ,0.612,0.0,332-9891,no,no,0.0,0.4,0.57,0.4,0.747,0.541,0.747,0.444,0.528,0.444,0.555,0.45,0.556,0.111,False.
GA,0.401,0.0,372-9976,no,no,0.0,0.36,0.618,0.36,0.459,0.5,0.459,0.443,0.718,0.443,0.47,0.1,0.47,0.333,False.
MD,0.554,0.0,383-6029,yes,yes,0.804,0.493,0.515,0.493,0.561,0.629,0.561,0.266,0.317,0.267,0.73,0.75,0.73,0.0,True.
AR,0.136,1.0,353-7289,no,no,0.0,0.356,0.497,0.356,0.776,0.576,0.776,0.775,0.317,0.776,0.5,0.2,0.5,0.222,False.
ID,0.657,0.069,390-7274,no,no,0.0,0.245,0.467,0.245,0.454,0.647,0.455,0.418,0.415,0.418,0.46,0.2,0.459,0.333,False.
WI,0.26,1.0,352-1237,no,no,0.0,0.439,0.406,0.439,0.621,0.694,0.621,0.651,0.373,0.652,0.175,0.15,0.176,0.111,False.
OR,0.24,0.0,353-3061,no,yes,0.549,0.345,0.588,0.345,0.586,0.541,0.586,0.376,0.585,0.377,0.425,0.25,0.426,0.222,False.
MI,0.264,0.069,363-5450,no,no,0.0,0.602,0.727,0.602,0.447,0.718,0.447,0.3,0.599,0.3,0.66,0.25,0.659,0.333,False.
DE,0.583,0.0,364-1995,no,no,0.0,0.533,0.806,0.533,0.37,0.435,0.37,0.589,0.662,0.589,0.37,0.25,0.37,0.222,False.
ID,0.488,0.069,398-1294,no,no,0.0,0.454,0.691,0.454,0.636,0.688,0.636,0.323,0.408,0.323,0.44,0.15,0.441,0.556,True.
WY,0.397,0.069,405-7146,no,yes,0.471,0.38,0.818,0.38,0.597,0.341,0.597,0.127,0.324,0.128,0.55,0.15,0.55,0.111,False.
IA,0.211,0.0,413-4957,no,no,0.0,0.547,0.655,0.547,0.742,0.565,0.742,0.575,0.38,0.575,0.39,0.25,0.391,0.333,False.
IN,0.244,0.0,420-5645,no,no,0.0,0.629,0.345,0.629,0.58,0.676,0.58,0.607,0.676,0.608,0.34,0.15,0.341,0.111,False.
VA,0.037,0.0,349-4396,no,no,0.0,0.531,0.679,0.531,0.523,0.388,0.523,0.698,0.169,0.699,0.57,0.3,0.57,0.222,False.
UT,0.393,0.069,404-3211,no,no,0.0,0.457,0.709,0.457,0.735,0.394,0.736,0.552,0.246,0.552,0.465,0.25,0.465,0.222,False.
WY,0.355,0.069,353-3759,no,no,0.0,0.43,0.503,0.43,0.604,0.682,0.604,0.486,0.662,0.487,0.485,0.15,0.485,0.556,True.
IN,0.331,0.0,363-5947,no,no,0.0,0.5,0.406,0.5,0.685,0.5,0.686,0.664,0.458,0.665,0.51,0.15,0.509,0.111,False.
CO,0.579,0.069,340-5121,no,no,0.0,0.362,0.594,0.362,0.495,0.365,0.495,0.316,0.669,0.317,0.4,0.1,0.4,0.111,False.
CO,0.496,0.0,370-7574,no,yes,0.588,0.566,0.782,0.566,0.207,0.453,0.207,0.425,0.31,0.425,0.29,0.15,0.291,0.333,True.
WI,0.277,0.069,403-9733,no,no,0.0,0.424,0.424,0.424,0.678,0.965,0.678,0.287,0.493,0.287,0.605,0.15,0.606,0.333,False.
OK,0.512,0.0,355-7251,no,no,0.0,0.654,0.624,0.654,0.488,0.741,0.488,0.447,0.437,0.447,0.6,0.4,0.6,0.111,False.
ID,0.715,0.0,359-5893,no,no,0.0,0.548,0.588,0.548,0.467,0.553,0.467,0.386,0.148,0.386,0.57,0.2,0.57,0.111,False.
CA,0.475,0.069,405-3371,no,yes,0.667,0.766,0.503,0.766,0.49,0.835,0.49,0.385,0.514,0.385,0.58,0.15,0.58,0.222,False.
MN,0.302,1.0,344-5117,no,yes,0.647,0.552,0.552,0.552,0.677,0.565,0.677,0.309,0.415,0.309,0.73,0.15,0.73,0.222,False.
SD,0.612,0.0,332-8160,no,yes,0.549,0.515,0.558,0.515,0.516,0.376,0.516,0.652,0.141,0.652,0.63,0.15,0.63,0.333,False.
NC,0.153,0.0,359-4081,no,no,0.0,0.374,0.594,0.374,0.448,0.571,0.448,0.365,0.514,0.365,0.41,0.3,0.409,0.222,False.
WA,0.161,0.069,352-8305,no,yes,0.804,0.422,0.448,0.422,0.466,0.518,0.466,0.513,0.486,0.513,0.31,0.25,0.309,0.222,False.
WY,0.174,0.069,329-9847,yes,no,0.0,0.717,0.636,0.717,0.585,0.612,0.585,0.362,0.239,0.362,0.465,0.2,0.465,0.0,False.
MN,0.463,0.0,365-9011,yes,no,0.0,0.357,0.564,0.357,0.568,0.7,0.567,0.285,0.746,0.286,0.415,0.4,0.415,0.0,False.
UT,0.517,0.0,338-9472,no,no,0.0,0.603,0.424,0.603,0.596,0.471,0.597,0.35,0.19,0.351,0.39,0.05,0.391,0.111,False.
TX,0.616,1.0,374-8042,no,no,0.0,0.51,0.612,0.51,0.465,0.647,0.465,0.337,0.472,0.338,0.69,0.15,0.691,0.444,True.
NJ,0.566,0.0,359-1231,no,no,0.0,0.689,0.564,0.689,0.469,0.488,0.469,0.732,0.5,0.732,0.59,0.35,0.591,0.333,False.
MN,0.665,1.0,413-7170,no,yes,0.902,0.641,0.588,0.641,0.517,0.494,0.518,0.622,0.197,0.623,0.605,0.1,0.606,0.0,False.
NM,0.603,1.0,415-2935,no,no,0.0,0.709,0.503,0.709,0.409,0.5,0.41,0.402,0.535,0.402,0.4,0.2,0.4,0.333,False.
NV,0.368,0.069,399-4246,no,no,0.0,0.58,0.885,0.58,0.623,0.688,0.623,0.347,0.507,0.348,0.365,0.2,0.365,0.111,False.
HI,0.347,0.069,362-5889,no,no,0.0,0.672,0.661,0.672,0.432,0.553,0.432,0.444,0.465,0.444,0.6,0.15,0.6,0.0,False.
MN,0.202,0.069,350-8921,no,no,0.0,0.448,0.545,0.448,0.614,0.424,0.614,0.425,0.549,0.426,0.305,0.1,0.306,0.111,False.
DC,0.335,0.069,374-5353,no,no,0.0,0.856,0.661,0.856,0.498,0.588,0.498,0.664,0.282,0.664,0.585,0.2,0.585,0.0,True.
NY,0.591,0.0,360-1171,no,no,0.0,0.176,0.709,0.176,0.212,0.5,0.212,0.403,0.465,0.403,0.41,0.35,0.409,0.444,True.
MN,0.186,0.069,355-8887,no,no,0.0,0.61,0.436,0.61,0.452,0.612,0.452,0.415,0.563,0.415,0.41,0.15,0.409,0.222,False.
MD,0.285,0.0,333-1967,no,no,0.0,0.485,0.594,0.485,0.427,0.6,0.427,0.552,0.303,0.553,0.75,0.1,0.75,0.111,False.
WV,0.591,0.069,354-4577,no,no,0.0,0.573,0.6,0.573,0.834,0.435,0.835,0.54,0.606,0.54,0.66,0.1,0.659,0.111,False.
OR,0.475,0.069,331-7425,yes,no,0.0,0.614,0.63,0.614,0.563,0.465,0.563,0.687,0.535,0.687,0.63,0.25,0.63,0.333,False.
CO,0.223,0.0,419-2637,no,yes,0.49,0.472,0.745,0.472,0.374,0.559,0.374,0.41,0.401,0.411,0.55,0.1,0.55,0.333,False.
GA,0.285,0.069,411-1530,no,yes,0.471,0.711,0.612,0.711,0.714,0.576,0.714,0.537,0.246,0.537,0.49,0.2,0.491,0.111,False.
TX,0.434,1.0,395-3026,no,no,0.0,0.6,0.582,0.6,0.685,0.5,0.685,0.452,0.387,0.452,0.62,0.05,0.62,0.222,True.
VT,0.525,1.0,388-6441,no,yes,0.569,0.511,0.63,0.511,0.621,0.506,0.621,0.806,0.317,0.807,0.43,0.35,0.43,0.0,False.
IN,0.384,0.0,402-1251,no,no,0.0,0.45,0.636,0.45,0.426,0.594,0.426,0.448,0.359,0.448,0.4,0.25,0.4,0.444,True.
WV,0.455,1.0,412-9997,no,no,0.0,0.611,0.715,0.611,0.573,0.447,0.573,0.428,0.458,0.429,0.6,0.1,0.6,0.111,False.
KY,0.302,0.069,346-7302,no,yes,0.686,0.439,0.63,0.439,0.339,0.494,0.339,0.481,0.169,0.481,0.545,0.45,0.544,0.222,False.
NJ,0.525,0.069,358-9095,no,no,0.0,0.678,0.758,0.678,0.681,0.547,0.681,0.499,0.246,0.5,0.695,0.2,0.694,0.111,True.
DC,0.335,1.0,400-9770,no,no,0.0,0.41,0.37,0.41,0.536,0.618,0.536,0.232,0.43,0.233,0.555,0.1,0.556,0.111,False.
LA,0.636,0.069,334-1275,no,no,0.0,0.58,0.606,0.58,0.525,0.612,0.525,0.465,0.606,0.465,0.445,0.2,0.444,0.0,True.
AR,0.326,0.069,340-4953,no,no,0.0,0.354,0.606,0.354,0.476,0.629,0.476,0.619,0.204,0.619,0.395,0.45,0.394,0.111,False.
ME,0.318,0.069,400-9510,no,no,0.0,0.721,0.564,0.721,0.491,0.659,0.49,0.647,0.507,0.648,0.475,0.35,0.476,0.333,False.
AZ,0.368,0.069,387-6103,no,no,0.0,0.511,0.43,0.511,0.524,0.476,0.524,0.281,0.408,0.282,0.53,0.35,0.53,0.333,False.
AK,0.426,0.0,366-4467,no,no,0.0,0.794,0.642,0.794,0.223,0.665,0.223,0.377,0.732,0.377,0.49,0.25,0.491,0.111,False.
MT,0.298,0.069,370-3450,no,no,0.0,0.456,0.667,0.456,0.586,0.424,0.587,0.406,0.275,0.406,0.65,0.2,0.65,0.0,False.
AZ,0.405,0.069,327-3954,no,no,0.0,0.565,0.527,0.565,0.57,0.447,0.57,0.451,0.563,0.451,0.435,0.15,0.435,0.444,False.
MS,0.492,0.0,355-6291,no,no,0.0,0.605,0.794,0.605,0.576,0.612,0.576,0.387,0.444,0.387,0.265,0.25,0.265,0.111,True.
ID,0.314,0.069,362-9748,no,no,0.0,0.718,0.436,0.718,0.566,0.741,0.566,0.678,0.535,0.678,0.49,0.35,0.491,0.222,True.
IA,0.401,1.0,379-6506,no,yes,0.412,0.46,0.691,0.459,0.693,0.488,0.694,0.368,0.415,0.369,0.22,0.4,0.22,0.444,False.
MA,0.442,0.069,347-7741,no,no,0.0,0.508,0.83,0.508,0.52,0.447,0.52,0.285,0.486,0.285,0.73,0.25,0.73,0.0,False.
VT,0.554,0.069,354-3783,no,no,0.0,0.432,0.497,0.432,0.327,0.618,0.327,0.422,0.472,0.422,0.525,0.3,0.526,0.0,False.
KY,0.388,0.0,401-7594,no,no,0.0,0.385,0.6,0.385,0.505,0.624,0.505,0.597,0.486,0.598,0.625,0.45,0.626,0.111,False.
IN,0.5,0.0,397-4976,no,no,0.0,0.486,0.57,0.486,0.478,0.641,0.478,0.606,0.296,0.607,0.565,0.1,0.565,0.111,False.
AZ,0.388,0.0,334-2577,no,no,0.0,0.679,0.394,0.679,0.515,0.576,0.515,0.449,0.577,0.449,0.59,0.2,0.591,0.444,False.
MI,0.145,1.0,400-3637,no,yes,0.569,0.802,0.618,0.802,0.556,0.447,0.556,0.441,0.563,0.441,0.45,0.3,0.45,0.222,False.
NM,0.38,1.0,383-4361,no,yes,0.412,0.336,0.794,0.336,0.452,0.676,0.452,0.521,0.373,0.521,0.49,0.15,0.491,0.111,False.
CO,0.579,0.069,371-4306,no,yes,0.627,0.424,0.552,0.424,0.36,0.571,0.36,0.528,0.768,0.528,0.505,0.05,0.506,0.111,False.
UT,0.645,0.0,403-4298,no,no,0.0,0.655,0.545,0.655,0.407,0.712,0.407,0.587,0.528,0.587,0.48,0.35,0.48,0.333,False.
MI,0.492,0.0,409-3786,no,no,0.0,0.47,0.606,0.47,0.872,0.488,0.872,0.258,0.373,0.258,0.415,0.4,0.415,0.111,False.
MA,0.421,0.069,337-4697,no,no,0.0,0.527,0.709,0.527,0.614,0.553,0.614,0.537,0.408,0.537,0.63,0.1,0.63,0.222,False.
AL,0.401,0.0,383-1509,no,no,0.0,0.459,0.709,0.459,0.525,0.665,0.525,0.55,0.563,0.551,0.605,0.2,0.606,0.444,False.
DE,0.512,0.0,359-9794,no,no,0.0,0.361,0.655,0.361,0.566,0.529,0.566,0.604,0.57,0.604,0.665,0.35,0.665,0.111,False.
AZ,0.256,0.069,407-7035,no,no,0.0,0.168,0.758,0.168,0.466,0.347,0.467,0.506,0.387,0.506,0.47,0.15,0.47,0.111,False.
ME,0.145,1.0,363-1069,yes,yes,0.824,0.561,0.539,0.561,0.701,0.718,0.701,0.31,0.655,0.31,1.0,0.3,1.0,0.0,True.
NJ,0.26,1.0,391-4652,no,no,0.0,0.464,0.503,0.463,0.419,0.641,0.419,0.092,0.627,0.093,0.71,0.15,0.709,0.111,False.
NV,0.302,0.069,355-6837,no,no,0.0,0.805,0.691,0.805,0.605,0.282,0.605,0.395,0.577,0.395,0.47,0.2,0.47,0.111,True.
MO,0.459,1.0,409-1244,no,yes,0.706,0.324,0.709,0.324,0.433,0.482,0.433,0.415,0.599,0.415,0.5,0.15,0.5,0.222,False.
ID,0.397,0.0,328-3266,no,no,0.0,0.684,0.758,0.684,0.591,0.653,0.591,0.323,0.338,0.323,0.435,0.25,0.435,0.222,False.
NE,0.186,0.0,352-7072,no,no,0.0,0.599,0.558,0.599,0.625,0.453,0.625,0.476,0.585,0.476,0.655,0.35,0.656,0.111,False.
TX,0.165,0.0,370-7550,no,yes,0.431,0.609,0.618,0.609,0.39,0.506,0.39,0.32,0.634,0.32,0.36,0.15,0.359,0.0,False.
MD,0.496,1.0,369-5526,no,no,0.0,0.544,0.624,0.544,0.505,0.688,0.505,0.531,0.493,0.532,0.49,0.2,0.491,0.333,False.
MS,0.793,0.069,329-4391,no,no,0.0,0.487,0.752,0.487,0.364,0.559,0.364,0.241,0.394,0.241,0.58,0.15,0.58,0.111,False.
NV,0.533,1.0,408-4195,no,no,0.0,0.44,0.721,0.439,0.303,0.576,0.303,0.549,0.592,0.549,0.46,0.25,0.459,0.222,False.
AZ,0.347,0.0,354-4445,no,no,0.0,0.574,0.315,0.574,0.631,0.612,0.631,0.617,0.514,0.617,0.6,0.15,0.6,0.111,False.
MS,0.665,0.069,335-4858,no,no,0.0,0.202,0.655,0.202,0.433,0.512,0.433,0.354,0.345,0.354,0.455,0.15,0.456,0.444,True.
MS,0.248,1.0,414-8718,no,yes,0.529,0.534,0.752,0.535,0.403,0.606,0.403,0.545,0.676,0.545,0.32,0.3,0.32,0.444,True.
TX,0.376,0.0,409-5939,no,no,0.0,0.261,0.545,0.261,0.533,0.724,0.533,0.408,0.373,0.409,0.46,0.2,0.459,0.222,False.
NE,0.537,0.0,331-4902,no,yes,0.706,0.611,0.697,0.61,0.445,0.688,0.445,0.65,0.486,0.65,0.475,0.2,0.476,0.333,False.
NE,0.368,0.069,353-6870,no,no,0.0,0.415,0.558,0.415,0.599,0.671,0.599,0.333,0.634,0.333,0.545,0.1,0.544,0.333,False.
CA,0.306,0.0,355-2909,no,no,0.0,0.474,0.758,0.474,0.435,0.506,0.435,0.628,0.331,0.628,0.305,0.25,0.306,0.111,False.
NJ,0.318,0.069,390-6101,no,no,0.0,0.658,0.697,0.658,0.633,0.824,0.633,0.641,0.613,0.641,0.475,0.15,0.476,0.111,False.
TX,0.335,0.0,400-3446,no,no,0.0,0.571,0.582,0.571,0.553,0.6,0.553,0.492,0.19,0.492,0.355,0.05,0.356,0.444,False.
AR,0.669,0.0,411-5859,no,no,0.0,0.562,0.661,0.562,0.557,0.753,0.557,0.493,0.331,0.493,0.455,0.5,0.456,0.111,False.
AL,0.372,1.0,387-2919,yes,no,0.0,0.37,0.679,0.37,0.476,0.488,0.477,0.602,0.683,0.603,0.56,0.15,0.559,0.333,False.
NY,0.306,0.069,374-8525,no,yes,0.412,0.501,0.588,0.501,0.598,0.624,0.598,0.576,0.711,0.577,0.265,0.2,0.265,0.556,False.
FL,0.372,1.0,379-5592,no,no,0.0,0.579,0.642,0.579,0.578,0.665,0.578,0.464,0.676,0.464,0.6,0.15,0.6,0.333,False.
AK,0.521,1.0,345-8237,no,yes,0.706,0.522,0.709,0.522,0.349,0.447,0.349,0.646,0.268,0.646,0.56,0.4,0.559,0.111,False.
NV,0.463,0.069,422-6690,no,yes,0.451,0.584,0.612,0.584,0.418,0.353,0.418,0.364,0.183,0.365,0.51,0.25,0.509,0.222,False.
DE,0.45,1.0,346-2359,no,no,0.0,0.423,0.697,0.423,0.76,0.494,0.76,0.458,0.556,0.458,0.62,0.15,0.62,0.111,False.
MD,0.492,0.069,374-3534,no,yes,0.765,0.571,0.412,0.571,0.606,0.571,0.606,0.62,0.585,0.62,0.525,0.2,0.526,0.0,False.
MI,0.645,0.069,381-4756,no,yes,0.549,0.549,0.648,0.549,0.538,0.435,0.538,0.233,0.746,0.233,0.34,0.25,0.341,0.333,False.
VT,0.421,1.0,390-2805,no,no,0.0,0.703,0.285,0.703,0.538,0.494,0.538,0.477,0.444,0.477,0.585,0.2,0.585,0.111,False.
VT,0.479,0.0,390-2390,yes,no,0.0,0.476,0.521,0.476,0.488,0.512,0.488,0.608,0.697,0.608,0.705,0.35,0.706,0.222,True.
MI,0.574,0.069,419-9097,no,no,0.0,0.661,0.612,0.661,0.44,0.553,0.44,0.235,0.458,0.235,0.715,0.3,0.715,0.333,False.
WA,0.521,0.0,386-7281,no,no,0.0,0.418,0.552,0.418,0.56,0.459,0.56,0.485,0.542,0.485,0.685,0.15,0.685,0.111,False.
UT,0.339,0.0,380-3561,yes,no,0.0,0.774,0.527,0.774,0.595,0.741,0.595,0.263,0.507,0.264,0.585,0.2,0.585,0.111,False.
LA,0.496,0.0,390-8760,no,no,0.0,0.517,0.733,0.517,0.6,0.576,0.6,0.372,0.493,0.372,0.425,0.25,0.426,0.111,False.
RI,0.595,0.0,366-6730,no,yes,0.843,0.735,0.588,0.735,0.446,0.559,0.446,0.709,0.373,0.71,0.555,0.2,0.556,0.222,False.
IA,0.463,0.0,395-5285,no,no,0.0,0.552,0.6,0.552,0.609,0.735,0.609,0.401,0.239,0.401,0.53,0.3,0.53,0.111,False.
NE,0.479,0.069,354-3436,no,no,0.0,0.293,0.721,0.293,0.568,0.535,0.568,0.742,0.507,0.742,0.505,0.35,0.506,0.111,False.
OH,0.264,0.0,336-7600,no,no,0.0,0.536,0.703,0.536,0.433,0.688,0.434,0.549,0.373,0.549,0.375,0.3,0.376,0.111,False.
RI,0.227,0.069,383-6293,no,no,0.0,0.644,0.679,0.644,0.683,0.694,0.683,0.315,0.768,0.316,0.345,0.55,0.344,0.111,False.
OK,0.393,0.069,362-4596,no,no,0.0,0.742,0.697,0.742,0.401,0.271,0.401,0.662,0.38,0.663,0.575,0.2,0.576,0.556,False.
LA,0.62,0.0,401-3926,no,no,0.0,0.509,0.703,0.509,0.803,0.812,0.803,0.653,0.479,0.653,0.49,0.2,0.491,0.0,False.
OH,0.339,0.069,370-9116,no,no,0.0,0.962,0.727,0.962,0.625,0.682,0.625,0.352,0.57,0.352,0.79,0.35,0.791,0.0,True.
VA,0.57,1.0,328-6289,no,yes,0.451,0.449,0.782,0.449,0.679,0.565,0.679,0.635,0.556,0.635,0.685,0.1,0.685,0.0,False.
MO,0.021,1.0,350-9994,no,no,0.0,0.523,0.709,0.523,0.706,0.424,0.706,0.418,0.324,0.418,0.51,0.1,0.509,0.111,False.
FL,0.471,1.0,351-4616,no,yes,0.471,0.405,0.752,0.405,0.504,0.759,0.504,0.381,0.57,0.381,0.48,0.2,0.48,0.111,False.
SC,0.355,0.069,360-5779,no,no,0.0,0.389,0.588,0.388,0.473,0.635,0.474,0.307,0.479,0.308,0.355,0.25,0.356,0.0,False.
VA,0.579,0.069,417-4885,no,no,0.0,0.619,0.667,0.619,0.664,0.653,0.664,0.619,0.493,0.62,0.6,0.3,0.6,0.0,False.
IA,0.579,1.0,406-4710,no,yes,0.706,0.534,0.6,0.535,0.664,0.682,0.664,0.555,0.507,0.555,0.525,0.25,0.526,0.333,False.
MI,0.252,0.069,409-8743,no,no,0.0,0.282,0.624,0.282,0.372,0.718,0.372,0.574,0.345,0.574,0.61,0.05,0.609,0.111,False.
OK,0.599,0.069,335-4584,no,no,0.0,0.588,0.915,0.588,0.409,0.524,0.409,0.387,0.408,0.387,0.305,0.15,0.306,0.111,False.
DE,0.376,0.069,361-9845,no,yes,0.647,0.693,0.558,0.693,0.588,0.541,0.588,0.553,0.5,0.553,0.605,0.1,0.606,0.222,False.
GA,0.76,1.0,366-5699,no,yes,0.608,0.541,0.764,0.541,0.449,0.782,0.449,0.65,0.655,0.65,0.375,0.15,0.376,0.111,False.
DC,0.607,0.069,329-9364,no,no,0.0,0.576,0.618,0.576,0.669,0.753,0.669,0.64,0.401,0.641,0.545,0.15,0.544,0.111,False.
AZ,0.384,0.0,390-7434,no,yes,0.745,0.485,0.752,0.485,0.531,0.682,0.532,0.222,0.282,0.223,0.64,0.2,0.641,0.111,False.
AL,0.128,1.0,404-9680,no,no,0.0,0.658,0.527,0.658,0.515,0.529,0.515,0.352,0.141,0.352,0.315,0.1,0.315,0.0,False.
CO,0.277,0.0,338-9398,no,no,0.0,0.676,0.636,0.676,0.615,0.618,0.615,0.2,0.324,0.2,0.66,0.1,0.659,0.111,False.
NH,0.26,0.0,394-2445,no,yes,0.529,0.519,0.552,0.519,0.467,0.576,0.467,0.381,0.373,0.381,0.53,0.25,0.53,0.222,False.
NM,0.099,0.069,381-2709,no,no,0.0,0.34,0.527,0.34,0.582,0.594,0.582,0.661,0.373,0.661,0.525,0.2,0.526,0.333,False.
